ts_utc,event_id,market_id,question,market_kind,game_no,start_time,mins_to_start,outcome,token_id,best_bid,best_ask,mid,spread,bid_depth_1c,bid_depth_3c,bid_depth_5c,ask_cost_1c,ask_cost_3c,ask_cost_5c,n_bid_levels,n_ask_levels,volume
2026-09-14 06:56:13,1005025,4469707,LoL: Dplus KIA Challengers vs KT Rolster Challengers - Game 1 Winner,map,1,2026-09-14 08:00:00,63.8,Dplus KIA Challengers,79506385612332042273477783365107459615826922697680223257461600547062172234032,0.46,0.47,0.465,0.01,2680.24,5327.87,6165.23,1486.5,9939.01,10344.93,30,33,5193.444930000001
2026-09-14 06:56:13,1005025,4469707,LoL: Dplus KIA Challengers vs KT Rolster Challengers - Game 1 Winner,map,1,2026-09-14 08:00:00,63.8,KT Rolster Challengers,97257682963941586084823881418281679222071464558132919689027334677936833982423,0.53,0.54,0.535,0.01,1618.91,10378.28,10763.36,3271.52,6756.06,7944.7,33,30,5193.444930000001
2026-09-14 06:56:13,1005025,4469709,LoL: Dplus KIA Challengers vs KT Rolster Challengers - Game 2 Winner,map,2,2026-09-14 08:00:00,63.8,Dplus KIA Challengers,19262657911838089880673901912882610170663247707436028585048649508392856103499,0.46,0.47,0.465,0.01,2596.04,4793.8,5591.9,230.59,6506.59,7866.5,26,22,1570.7806959999998
2026-09-14 06:56:13,1005025,4469709,LoL: Dplus KIA Challengers vs KT Rolster Challengers - Game 2 Winner,map,2,2026-09-14 08:00:00,63.8,KT Rolster Challengers,33467499211364829517193607296149502781898268896092597867848552862183188411044,0.53,0.54,0.535,0.01,250.55,6756.4,8048.46,3163.39,6006.94,7113.84,22,26,1570.7806959999998
2026-09-14 06:56:13,1005025,4469710,LoL: Dplus KIA Challengers vs KT Rolster Challengers - Game 3 Winner,map,3,2026-09-14 08:00:00,63.8,Dplus KIA Challengers,47852367520963649989380590749619456766551583404729553564987883616459332495067,0.46,0.47,0.465,0.01,2560.22,4419.82,5205.98,223.7,6603.62,7381.12,26,21,1468.702245
2026-09-14 06:56:13,1005025,4469710,LoL: Dplus KIA Challengers vs KT Rolster Challengers - Game 3 Winner,map,3,2026-09-14 08:00:00,63.8,KT Rolster Challengers,17189073279038128413511399135855698400556627702317561354500933552481909873045,0.53,0.54,0.535,0.01,243.73,6855.24,7589.12,3120.01,5515.3,6576.14,21,26,1468.702245
2026-09-14 06:56:13,1005025,4469711,LoL: Dplus KIA Challengers vs KT Rolster Challengers - Game 4 Winner,map,4,2026-09-14 08:00:00,63.8,Dplus KIA Challengers,25856268592814824187030243017025995731326669754584962104456102551220441205951,0.43,0.46,0.445,0.03,8.18,8.18,8.18,4.26,28.76,638.76,19,16,5.769231
2026-09-14 06:56:13,1005025,4469711,LoL: Dplus KIA Challengers vs KT Rolster Challengers - Game 4 Winner,map,4,2026-09-14 08:00:00,63.8,KT Rolster Challengers,45045381285143611056817590266495698632067886574721648092313733988557154019340,0.54,0.57,0.555,0.03,5.0,30.5,618.5,11.08,11.08,11.08,16,19,5.769231
2026-09-14 06:56:13,1005025,4469713,LoL: Dplus KIA Challengers vs KT Rolster Challengers (BO5) - LCK Challengers League Playoffs,series,,2026-09-14 08:00:00,63.8,Dplus KIA Challengers,93590631689965345015711763604932888309596813776839092896819772485319952765754,0.43,0.44,0.435,0.01,4451.85,32427.54,35648.04,34156.35,54353.48,63692.25,37,43,88160.736905
2026-09-14 06:56:13,1005025,4469713,LoL: Dplus KIA Challengers vs KT Rolster Challengers (BO5) - LCK Challengers League Playoffs,series,,2026-09-14 08:00:00,63.8,KT Rolster Challengers,70608360214556067001255333206739913273298344757497283309940453959692805183524,0.56,0.57,0.565,0.01,42579.8,65949.68,76063.13,5944.24,46396.47,51500.97,43,37,88160.736905
2026-09-14 06:56:13,1005025,4469714,Games Total: O/U 3.5,total_games,,2026-09-14 08:00:00,63.8,Over,100227770628970498553927052929743438960021559264932378616397472228714134478462,0.75,0.76,0.755,0.01,490.27,8490.45,8786.99,18828.78,23133.42,24663.17,34,20,20868.472883000002
