ts_utc,event_id,market_id,question,market_kind,game_no,start_time,mins_to_start,outcome,token_id,best_bid,best_ask,mid,spread,bid_depth_1c,bid_depth_3c,bid_depth_5c,ask_cost_1c,ask_cost_3c,ask_cost_5c,n_bid_levels,n_ask_levels,volume
2026-08-06 00:03:35,785102,3283068,LoL: NRG Esports vs Cupid Esports - Game 1 Winner,map,1,2026-08-06 00:00:00,-3.6,NRG Esports,63484378326747153188893989151458801342220145392349641641702148306718123574352,0.68,0.7,0.69,0.02,836.19,1209.44,1480.83,970.35,1386.47,2014.73,39,21,8397.575208
2026-08-06 00:03:35,785102,3283068,LoL: NRG Esports vs Cupid Esports - Game 1 Winner,map,1,2026-08-06 00:00:00,-3.6,Cupid Esports,35629048129232584221214073251486748096419491802996396058499718428829429139786,0.29,0.32,0.305,0.03,466.1,804.02,1071.62,469.8,663.86,852.8,20,39,8397.575208
2026-08-06 00:03:35,785102,3283069,LoL: NRG Esports vs Cupid Esports - Game 2 Winner,map,2,2026-08-06 00:00:00,-3.6,NRG Esports,101903243214850723610154512726749937723865076976856449991532635909776284407654,0.51,0.53,0.52,0.02,1031.0,1081.47,1255.91,317.1,317.1,412.52,19,15,313.47
2026-08-06 00:03:35,785102,3283069,LoL: NRG Esports vs Cupid Esports - Game 2 Winner,map,2,2026-08-06 00:00:00,-3.6,Cupid Esports,55697277055645475295284573202306789178119152219099234478498755115859721430969,0.47,0.49,0.48,0.02,273.9,273.9,343.2,1030.0,1082.53,1285.09,15,19,313.47
2026-08-06 00:03:35,785102,3283135,LoL: NRG Esports vs Cupid Esports (BO3) - North American Challengers League Group Stage,series,,2026-08-06 00:00:00,-3.6,NRG Esports,64084079069407432594266267651790975801758661471408589301573999684390264955287,0.57,0.59,0.58,0.02,661.7,1463.6,2062.05,1213.3,2125.53,2267.91,40,29,34757.890010999996
2026-08-06 00:03:35,785102,3283135,LoL: NRG Esports vs Cupid Esports (BO3) - North American Challengers League Group Stage,series,,2026-08-06 00:00:00,-3.6,Cupid Esports,79201753859985025699694468633018944120267601036348840101826971284310060405486,0.41,0.43,0.42,0.02,818.7,1398.25,1481.87,517.68,1187.38,1718.92,29,40,34757.890010999996
2026-08-06 00:03:35,785102,3283137,Games Total: O/U 2.5,total_games,,2026-08-06 00:00:00,-3.6,Over,98845373014174039883716167357924719554526903358988017654777618183317203260866,0.22,0.73,0.475,0.51,13.25,14.25,14.25,13.63,13.63,13.63,3,4,145.63893000000002
2026-08-06 00:03:35,785102,3283137,Games Total: O/U 2.5,total_games,,2026-08-06 00:00:00,-3.6,Under,110990433540446719710900025382387807526994286635796167524982065555845908678218,0.27,0.78,0.525,0.51,4.97,4.97,4.97,49.36,53.62,53.62,4,3,145.63893000000002
2026-08-06 00:03:35,785102,3283139,Game Handicap: NRG (-1.5) vs Cupid Esports (+1.5),handicap,,2026-08-06 00:00:00,-3.6,NRG Esports,37595368285718288742787919703670367205682980818378238805549364265619077126923,0.08,,,,1.0,1.0,1.0,0.0,0.0,0.0,1,0,1178.147819
2026-08-06 00:03:35,785102,3283139,Game Handicap: NRG (-1.5) vs Cupid Esports (+1.5),handicap,,2026-08-06 00:00:00,-3.6,Cupid Esports,85955020505633491953837836860861062116618847320096766078194259768074731765838,,0.92,,,0.0,0.0,0.0,11.5,11.5,11.5,0,1,1178.147819
2026-08-06 00:03:35,785102,3283141,Game 1: Both Teams Slay Baron Nashor?,prop,1,2026-08-06 00:00:00,-3.6,Yes,85005242363673106085793423444222472044575007000134118282804110673537936621595,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2026-08-06 00:03:35,785102,3283141,Game 1: Both Teams Slay Baron Nashor?,prop,1,2026-08-06 00:00:00,-3.6,No,52447848610353116221440320092707103911668120594725977315389706271308610285216,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2026-08-06 00:03:35,785102,3283143,Game 1: Both Teams Slay a Dragon?,prop,1,2026-08-06 00:00:00,-3.6,Yes,18415562032116962528676039851540603963835306713070423686056804407025202740885,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2026-08-06 00:03:35,785102,3283143,Game 1: Both Teams Slay a Dragon?,prop,1,2026-08-06 00:00:00,-3.6,No,68288668424595640468350339001309087236350058871379973644964063935470104654094,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2026-08-06 00:03:35,785102,3283145,Game 1: Both Teams Destroy Inhibitors?,prop,1,2026-08-06 00:00:00,-3.6,Yes,71312931568790299399556978779349890391784733606020037596211743970952977944479,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2026-08-06 00:03:35,785102,3283145,Game 1: Both Teams Destroy Inhibitors?,prop,1,2026-08-06 00:00:00,-3.6,No,87196812761661738162384181500433306803851242856879261415068704089508542199812,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2026-08-06 00:03:35,785102,3283147,Game 1: Any Player Quadra Kill?,prop,1,2026-08-06 00:00:00,-3.6,Yes,55044845943371310478071069099731680129173405263322115956861541520725315066243,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
2026-08-06 00:03:35,785102,3283147,Game 1: Any Player Quadra Kill?,prop,1,2026-08-06 00:00:00,-3.6,No,30200625346067074015430060403220986189789510521859250903075564218844293941672,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
